,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,new_addition
0,click,pallets/click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-07-01 12:58:32,2021-07-01 12:58:31,1122,68,1116,11075,2021-05-19 21:02:51,8.0.1,7.0,Python composable command line interface toolkit.,551857.0,551857.0,299,29,True,1,,,,
1,sentry,getsentry/sentry,debug,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry,,2010-08-30 22:06:41,2021-07-02 20:49:07,2021-07-02 20:12:00,3148,336,4326,28411,2021-07-02 19:22:59,21.6.2,77.0,"Sentry is cross-platform application monitoring, with a focus on error reporting.",513.0,513.0,598,28,True,1,37063.0,39641.0,550.0,
2,pygments,pygments/pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-06-29 14:43:00,2021-06-25 10:25:01,294,351,1173,649,2021-05-03 15:20:07,2.9.0,17.0,Pygments is a generic syntax highlighter written in Python.,232042.0,232042.0,637,28,True,2,5591.0,,,
3,rich,willmcgugan/rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-06-28 16:58:13,2021-06-28 16:58:10,820,8,460,27367,2021-06-18 19:47:17,10.4.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,5004.0,5004.0,95,27,True,2,2041.0,,,
4,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,cli,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08,2021-06-27 16:05:17,2021-06-17 21:16:52,557,431,485,7144,,,,Library for building powerful interactive command line applications in Python.,157471.0,157471.0,181,26,True,3,2539.0,,,
5,joblib,joblib/joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-07-01 13:51:17,2021-06-11 10:31:40,287,291,364,2476,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,112891.0,112891.0,102,25,True,1,1375.0,,,True
6,python-fire,google/python-fire,cli,https://github.com/google/python-fire,https://github.com/google/python-fire,,2017-02-21 21:35:07,2021-06-17 18:03:42,2021-06-17 18:03:13,1155,106,140,19737,2021-01-22 18:12:10,0.4.0,8.0,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,8043.0,8043.0,46,24,True,3,259.0,,,
7,loguru,Delgan/loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-04-04 22:33:11,2021-03-19 22:08:53,407,49,373,9240,2020-09-20 07:56:32,0.5.3,17.0,Python logging made (stupidly) simple.,8020.0,8020.0,29,24,True,2,558.0,,,
8,boltons,mahmoud/boltons,caching,https://github.com/mahmoud/boltons,https://boltons.readthedocs.io/en/latest/cacheutils.html,,2013-02-20 06:17:12,2021-05-19 17:03:44,2021-05-19 17:03:44,299,41,90,5489,2020-01-08 23:38:01,20.0.0,18.0,`boltons.cacheutils` contains consistent implementations of fundamental cache types.,1546.0,1546.0,72,22,True,2,1497.0,19.0,0.0,True
9,python-json-logger,madzak/python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-04-18 19:41:32,2020-10-12 16:12:03,147,19,45,996,2020-10-12 16:22:30,2.0.1,4.0,Json Formatter for the standard python logger.,15761.0,15761.0,43,21,True,2,179.0,,,
