,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,commit_count,github_release_downloads,new_addition
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-07-03 14:03:38,2021-07-01 12:58:31,1122,68,1118,11077,2021-05-19 21:02:51,8.0.1,42,Python composable command line interface toolkit.,661858,552396.0,299,37,https://pypi.org/project/click,2021-05-19 21:00:32,109462,63166180,63166180,True,1,,,
1,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,prompt-toolkit,cli,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08,2021-06-27 16:05:17,2021-06-17 21:16:52,557,431,485,7145,2021-06-17 21:18:12,3.0.19,103,Library for building powerful interactive command line applications in Python.,158157,157625.0,181,36,https://pypi.org/project/prompt-toolkit,2021-06-17 21:18:12,532,16607579,16607579,True,2,2539.0,,
2,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-07-01 13:51:17,2021-06-11 10:31:40,287,291,364,2477,2021-02-09 16:46:29,1.0.1,100,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,119665,113055.0,102,36,https://pypi.org/project/joblib,2021-02-09 16:46:29,6610,25915774,25915774,True,1,1375.0,,
3,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-06-29 14:43:00,2021-06-25 10:25:01,718,351,1173,650,2021-05-03 15:20:07,2.9.0,50,Pygments is a generic syntax highlighter written in Python.,299989,232223.0,637,36,https://pypi.org/project/Pygments,2021-05-03 16:09:56,67766,25427316,25427316,True,2,5591.0,,
4,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-06-28 22:20:51,2021-06-28 22:20:51,577,57,368,7455,2021-06-24 15:05:35,1.1.1,59,Better dates & times for Python.,27856,20434.0,242,35,https://pypi.org/project/arrow,2021-06-24 15:04:26,7422,4190236,4190236,True,1,1298.0,,
5,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,NRL,2014-11-19 18:56:16,2021-07-02 15:06:30,2021-07-02 15:06:30,361,262,349,1597,2019-11-03 05:42:01,2.8.1,23,Useful extensions to the standard Python datetime features.,631285,514657.0,123,35,https://pypi.org/project/python-dateutil,2019-11-03 05:42:01,116628,97996057,97996511,False,1,1524.0,34512.0,
6,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,BSD-3-Clause,2014-09-06 05:35:17,2021-06-26 13:33:53,2021-06-26 09:11:32,251,20,161,4024,2021-06-20 16:52:17,0.18.0,37,Get and set values in your .env file in local and production servers.,133702,124348.0,70,34,https://pypi.org/project/python-dotenv,2021-06-20 16:52:17,9354,8626963,8626963,True,1,287.0,,
7,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-06-28 16:58:13,2021-06-28 16:58:10,820,7,461,27374,2021-06-18 19:47:17,10.4.0,128,Rich is a Python library for rich text and beautiful formatting in the terminal.,5022,5022.0,95,33,https://pypi.org/project/rich,2021-06-18 19:45:20,0,1796172,1796172,True,3,2041.0,,
8,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-06-28 16:58:13,2021-06-28 16:58:10,820,7,461,27374,2021-06-18 19:47:17,10.4.0,128,Rich is a Python library for rich text and beautiful formatting in the terminal.,5022,5022.0,95,33,https://pypi.org/project/rich,2021-06-18 19:45:20,0,1796172,1796172,True,1,2041.0,,True
9,python-fire,google/python-fire,fire,cli,https://github.com/google/python-fire,https://github.com/google/python-fire,Apache-2.0,2017-02-21 21:35:07,2021-06-17 18:03:42,2021-06-17 18:03:13,1155,106,140,19739,2021-01-22 18:12:10,0.4.0,9,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,9225,8057.0,46,32,https://pypi.org/project/fire,2021-01-22 18:11:49,1168,1468448,1468448,True,3,259.0,,
10,wrapt,GrahamDumpleton/wrapt,wrapt,misc,https://github.com/GrahamDumpleton/wrapt,https://github.com/GrahamDumpleton/wrapt,BSD-2-Clause,2013-05-29 10:22:45,2021-06-18 12:07:01,2021-06-18 12:07:01,190,49,77,1507,2020-03-09 02:32:04,1.12.1,35,"A Python module for decorators, wrappers and monkey patching.",21338,,19,32,https://pypi.org/project/wrapt,2020-03-09 02:32:04,21338,30816681,30816681,True,1,501.0,,
11,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-06-16 09:52:54,2021-06-14 07:42:07,208,171,378,949,2021-05-06 17:24:17,1.1.0,128,The new Python SDK for Sentry.io.,13193,12207.0,99,32,https://pypi.org/project/sentry-sdk,2021-05-06 17:24:12,986,9921104,9921235,True,2,1249.0,4485.0,
12,boltons.cacheutils,mahmoud/boltons,boltons,caching,https://github.com/mahmoud/boltons,https://boltons.readthedocs.io/en/latest/cacheutils.html,BSD-3-Clause,2013-02-20 06:17:12,2021-05-19 17:03:44,2021-05-19 17:03:44,299,41,90,5491,2021-05-17 01:20:20,21.0.0,49,`boltons.cacheutils` contains consistent implementations of fundamental cache types.,2040,1548.0,72,31,https://pypi.org/project/boltons,2021-05-17 01:20:20,492,1110975,1110975,True,2,1497.0,19.0,
13,boltons,mahmoud/boltons,boltons,misc,https://github.com/mahmoud/boltons,https://github.com/mahmoud/boltons,BSD-3-Clause,2013-02-20 06:17:12,2021-05-19 17:03:44,2021-05-19 17:03:44,299,41,90,5491,2021-05-17 01:20:20,21.0.0,49,"Like builtins, but boltons. 250+ constructs, recipes, and snippets which extend (and rely on nothing but) the Python..",2040,1548.0,72,31,https://pypi.org/project/boltons,2021-05-17 01:20:20,492,1110975,1110975,True,2,1497.0,19.0,
14,pytz,stub42/pytz,pytz,datetime,https://github.com/stub42/pytz,https://github.com/stub42/pytz,MIT,2016-07-12 12:22:30,2021-03-22 08:46:40,2021-03-22 08:36:34,54,16,22,167,2016-07-14 08:21:41,2016.6.1,101,pytz Python historical timezone library and database.,935300,780364.0,16,31,https://pypi.org/project/pytz,2021-02-01 08:07:15,154936,62783853,62783853,True,3,589.0,,
15,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-04-04 22:33:11,2021-03-19 22:08:53,408,49,373,9245,2020-09-20 07:56:32,0.5.3,17,Python logging made (stupidly) simple.,8391,8049.0,29,30,https://pypi.org/project/loguru,2020-09-20 07:54:28,342,1446768,1446768,True,2,558.0,,
16,pendulum,sdispater/pendulum,pendulum,datetime,https://github.com/sdispater/pendulum,https://github.com/sdispater/pendulum,MIT,2016-06-27 23:37:53,2021-06-29 08:21:54,2021-02-11 15:37:00,249,195,224,4460,2020-07-24 18:17:05,2.1.2,52,Python datetimes made easy.,1080,,66,30,https://pypi.org/project/pendulum,2020-07-24 18:16:40,1080,4396490,4396490,True,3,697.0,,
17,dill,uqfoundation/dill,dill,misc,https://github.com/uqfoundation/dill,https://github.com/uqfoundation/dill,BSD-3-Clause,2013-06-28 16:42:27,2021-06-17 13:57:27,2021-06-17 13:57:13,121,139,213,1431,2021-06-13 17:15:27,dill-0.3.4,22,serialize all of python.,4968,,29,30,https://pypi.org/project/dill,2021-06-13 17:11:45,4968,8242648,8245194,True,2,844.0,236795.0,
18,cachetools,tkem/cachetools,cachetools,caching,https://github.com/tkem/cachetools,https://github.com/tkem/cachetools,MIT,2014-03-22 10:15:14,2021-07-02 00:40:42,2021-04-27 21:11:46,106,10,171,1007,2021-04-27 21:19:55,4.2.2,37,Extensible memoizing collections and decorators.,4436,,5,30,https://pypi.org/project/cachetools,2021-04-27 21:19:55,4436,39286238,39286238,True,3,212.0,,
19,dynaconf,rochacbruno/dynaconf,dynaconf,config,https://github.com/rochacbruno/dynaconf,https://github.com/rochacbruno/dynaconf,MIT,2015-08-14 21:25:22,2021-06-29 17:54:47,2021-06-29 17:54:46,170,67,214,1804,2021-03-08 18:36:39,3.1.4,73,Configuration Management for Python.,1412,1320.0,62,29,https://pypi.org/project/dynaconf,2021-03-08 18:36:14,92,315616,315616,True,2,532.0,,
20,parse,r1chardj0n3s/parse,parse,misc,https://github.com/r1chardj0n3s/parse,https://github.com/r1chardj0n3s/parse,MIT,2011-11-17 05:31:01,2021-06-04 05:53:29,2021-06-04 05:53:29,82,16,64,1271,2021-01-14 01:37:12,1.19.0,48,Parse strings using a specification based on the Python format() syntax.,10575,8333.0,30,29,https://pypi.org/project/parse,2021-01-14 01:36:09,2242,2115620,2115620,True,3,225.0,,
21,deepdiff,seperman/deepdiff,deepdiff,misc,https://github.com/seperman/deepdiff,https://github.com/seperman/deepdiff,MIT,2014-09-26 03:21:47,2021-07-02 22:09:49,2021-04-30 18:45:01,140,27,120,1069,2021-04-29 06:44:17,5.5.0,60,Deep Difference and search of any Python object/data.,2924,2108.0,54,29,https://pypi.org/project/deepdiff,2021-04-29 06:23:22,816,3614108,3614108,True,3,817.0,,
22,cloudpickle,cloudpipe/cloudpickle,cloudpickle,misc,https://github.com/cloudpipe/cloudpickle,https://github.com/cloudpipe/cloudpickle,BSD-1-Clause,2015-04-13 16:33:00,2021-07-01 16:09:00,2021-07-01 09:32:11,112,54,135,965,2020-08-25 22:32:04,1.6.0,33,Extended pickling support for Python objects.,42476,38374.0,46,29,https://pypi.org/project/cloudpickle,2020-08-25 22:32:04,4102,13442174,13442174,False,3,388.0,16.0,
23,python-decouple,henriquebastos/python-decouple,python-decouple,config,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08,2021-06-08 02:54:52,2021-06-05 16:32:27,140,16,56,1787,2021-01-05 14:38:53,3.4,8,Strict separation of config from code.,46837,40813.0,24,28,https://pypi.org/project/python-decouple,2021-01-05 14:39:25,6024,424958,424958,True,3,157.0,,
24,structlog,hynek/structlog,structlog,debug,https://github.com/hynek/structlog,https://github.com/hynek/structlog,MIT,2013-08-13 15:55:58,2021-06-30 09:17:30,2021-06-30 09:17:29,139,33,150,1531,2021-02-18 16:17:00,21.1.0,23,Structured Logging for Python.,4574,3368.0,73,28,https://pypi.org/project/structlog,2021-02-18 16:06:29,1206,2287638,2287638,True,3,,,
25,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-04-18 19:41:32,2020-10-12 16:12:03,147,19,45,997,2020-10-12 16:26:53,2.0.1,19,Json Formatter for the standard python logger.,16686,15768.0,43,28,https://pypi.org/project/python-json-logger,2020-10-12 16:26:53,918,3484125,3484125,True,3,179.0,,
26,environs,sloria/environs,environs,config,https://github.com/sloria/environs,https://github.com/sloria/environs,MIT,2016-04-25 05:34:37,2021-06-23 12:08:48,2021-05-12 16:15:09,45,6,60,695,2021-02-07 16:38:01,9.3.1,33,simplified environment variable parsing.,4485,4305.0,21,28,https://pypi.org/project/environs,2021-02-07 16:38:01,180,377977,377977,True,3,328.0,,
27,hydra,facebookresearch/hydra,hydra,config,https://github.com/facebookresearch/hydra,https://github.com/facebookresearch/hydra,MIT,2019-06-12 19:33:15,2021-06-30 23:15:22,2021-06-29 21:49:25,363,58,740,4471,2021-06-10 17:24:40,1.1.0,15,Hydra is a framework for elegantly configuring complex applications.,6,,76,25,https://pypi.org/project/hydra,2016-08-03 13:21:51,6,8595,8595,True,3,1530.0,,
28,typer,tiangolo/typer,typer,cli,https://github.com/tiangolo/typer,https://github.com/tiangolo/typer,MIT,2019-12-24 12:24:11,2021-07-03 10:47:34,2020-08-16 14:52:47,203,126,86,5619,2020-08-16 14:57:19,0.3.2,18,"Typer, build great CLIs. Easy to code. Based on Python type hints.",0,,8,23,https://pypi.org/project/typer,2020-08-16 14:57:19,0,2087177,2087177,True,3,257.0,,
29,json-logging-python,bobbui/json-logging-python,json-logging,debug,https://github.com/bobbui/json-logging-python,https://github.com/bobbui/json-logging-python,Apache-2.0,2017-12-18 15:27:46,2021-06-29 22:19:30,2021-06-17 07:22:28,40,6,44,167,2021-04-24 05:18:03,1.4.0rc2,34,Python logging library to emit JSON log that can be easily indexed and searchable by logging infrastructure such as..,184,176.0,18,23,https://pypi.org/project/json-logging,2021-04-24 05:15:47,8,1614379,1614379,True,3,144.0,,
