,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-08-16 14:17:15,2021-08-14 12:33:10,1122,68,1157,11237,2021-05-19 21:02:51,8.0.1,42,Python composable command line interface toolkit.,694593,585131.0,308,37,https://pypi.org/project/click,2021-05-19 21:00:32,109462,86276107,86276107,True,1,,,
1,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,NRL,2014-11-19 18:56:16,2021-08-17 14:33:55,2021-08-09 15:45:41,370,258,364,1625,2021-07-14 08:19:18,2.8.2,24,Useful extensions to the standard Python datetime features.,658848,542220.0,125,36,https://pypi.org/project/python-dateutil,2021-07-14 08:19:18,116628,124913122,124913571,False,1,1549.0,34577.0,
2,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-08-17 16:19:58,2021-08-17 16:19:55,718,352,1186,691,2021-08-15 10:57:14,2.10.0,51,Pygments is a generic syntax highlighter written in Python.,311154,243388.0,649,36,https://pypi.org/project/Pygments,2021-08-15 10:53:28,67766,28321034,28321034,True,2,5636.0,,
3,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-08-19 14:49:08,2021-08-18 07:06:37,577,60,372,7509,2021-06-24 15:05:35,1.1.1,59,Better dates & times for Python.,28722,21300.0,242,35,https://pypi.org/project/arrow,2021-06-24 15:04:26,7422,4239477,4239477,True,2,1308.0,,
4,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-08-10 14:35:47,2021-06-11 10:31:40,296,291,365,2519,2021-02-09 16:46:29,1.0.1,100,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,129427,122817.0,102,35,https://pypi.org/project/joblib,2021-02-09 16:46:29,6610,27319253,27319253,True,1,1375.0,,
5,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,BSD-3-Clause,2014-09-06 05:35:17,2021-08-13 15:41:10,2021-07-25 18:46:47,263,13,169,4159,2021-07-24 16:06:26,0.19.0,38,Get and set values in your .env file in local and production servers.,146987,137633.0,71,34,https://pypi.org/project/python-dotenv,2021-07-24 16:06:26,9354,10231869,10231869,True,1,300.0,,
6,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-08-19 17:06:22,2021-08-09 18:38:41,848,7,488,28211,2021-08-05 20:19:04,10.7.0,131,Rich is a Python library for rich text and beautiful formatting in the terminal.,6100,6100.0,105,33,https://pypi.org/project/rich,2021-08-05 20:17:41,0,1962203,1962203,True,2,2187.0,,
7,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-08-19 17:06:22,2021-08-09 18:38:41,848,7,488,28211,2021-08-05 20:19:04,10.7.0,131,Rich is a Python library for rich text and beautiful formatting in the terminal.,6100,6100.0,105,33,https://pypi.org/project/rich,2021-08-05 20:17:41,0,1962203,1962203,True,1,2187.0,,
8,wrapt,GrahamDumpleton/wrapt,wrapt,misc,https://github.com/GrahamDumpleton/wrapt,https://github.com/GrahamDumpleton/wrapt,BSD-2-Clause,2013-05-29 10:22:45,2021-08-17 01:53:14,2021-08-09 22:39:23,194,25,105,1528,2020-03-09 02:32:04,1.12.1,38,"A Python module for decorators, wrappers and monkey patching.",21338,,21,33,https://pypi.org/project/wrapt,2021-08-17 01:53:14,21338,33953886,33953886,True,1,501.0,,
9,python-fire,google/python-fire,fire,cli,https://github.com/google/python-fire,https://github.com/google/python-fire,Apache-2.0,2017-02-21 21:35:07,2021-08-19 17:59:12,2021-06-17 18:03:13,1155,106,142,19936,2021-01-22 18:12:10,0.4.0,9,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,9831,8663.0,46,32,https://pypi.org/project/fire,2021-01-22 18:11:49,1168,1415009,1415009,True,3,259.0,,
10,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,prompt-toolkit,cli,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08,2021-08-19 15:38:58,2021-08-19 13:38:05,557,431,492,7242,2021-06-17 21:18:12,3.0.19,103,Library for building powerful interactive command line applications in Python.,532,,188,32,https://pypi.org/project/prompt-toolkit,2021-06-17 21:18:12,532,19270444,19270444,True,3,2552.0,,
11,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-07-27 23:18:51,2021-07-27 23:18:45,156,20,45,1027,2021-07-27 23:09:33,2.0.2,20,Json Formatter for the standard python logger.,17585,16667.0,46,32,https://pypi.org/project/python-json-logger,2021-07-27 23:09:33,918,3617030,3617030,True,2,196.0,,
12,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-08-14 09:37:33,2021-07-27 14:53:19,218,171,381,1026,2021-07-27 14:52:59,1.3.1,131,The new Python SDK for Sentry.io.,14285,13299.0,100,32,https://pypi.org/project/sentry-sdk,2021-07-27 14:52:55,986,8984414,8984545,True,2,1269.0,4483.0,
13,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-07-17 10:49:46,2021-07-17 10:49:37,426,53,383,9538,2020-09-20 07:56:32,0.5.3,17,Python logging made (stupidly) simple.,9634,9292.0,29,31,https://pypi.org/project/loguru,2020-09-20 07:54:28,342,1456591,1456591,True,3,561.0,,
14,pytz,stub42/pytz,pytz,datetime,https://github.com/stub42/pytz,https://github.com/stub42/pytz,MIT,2016-07-12 12:22:30,2021-03-22 08:46:40,2021-03-22 08:36:34,54,16,22,177,2016-07-14 08:21:41,2016.6.1,101,pytz Python historical timezone library and database.,978838,823902.0,16,31,https://pypi.org/project/pytz,2021-02-01 08:07:15,154936,68559589,68559589,True,3,589.0,,
15,boltons.cacheutils,mahmoud/boltons,boltons,caching,https://github.com/mahmoud/boltons,https://boltons.readthedocs.io/en/latest/cacheutils.html,BSD-3-Clause,2013-02-20 06:17:12,2021-05-19 17:03:44,2021-05-19 17:03:44,301,41,90,5549,2021-05-17 01:20:20,21.0.0,49,`boltons.cacheutils` contains consistent implementations of fundamental cache types.,2134,1642.0,72,30,https://pypi.org/project/boltons,2021-05-17 01:20:20,492,992650,992650,True,2,1497.0,21.0,
16,boltons,mahmoud/boltons,boltons,misc,https://github.com/mahmoud/boltons,https://github.com/mahmoud/boltons,BSD-3-Clause,2013-02-20 06:17:12,2021-05-19 17:03:44,2021-05-19 17:03:44,301,41,90,5549,2021-05-17 01:20:20,21.0.0,49,"Like builtins, but boltons. 250+ constructs, recipes, and snippets which extend (and rely on nothing but) the Python..",2134,1642.0,72,30,https://pypi.org/project/boltons,2021-05-17 01:20:20,492,992650,992650,True,2,1497.0,21.0,
17,pendulum,sdispater/pendulum,pendulum,datetime,https://github.com/sdispater/pendulum,https://github.com/sdispater/pendulum,MIT,2016-06-27 23:37:53,2021-08-05 18:25:36,2021-02-11 15:37:00,249,195,224,4496,2020-07-24 18:17:05,2.1.2,52,Python datetimes made easy.,1080,,66,30,https://pypi.org/project/pendulum,2020-07-24 18:16:40,1080,5592231,5592231,True,3,697.0,,
