,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-10-14 21:16:36,2021-10-10 18:08:13,1146,56,1182,11504,2021-10-10 18:08:47,8.0.3,9.0,Python composable command line interface toolkit.,629109.0,629109.0,312,https://pypi.org/project/click,102827757,102827757,37,True,1,,,
1,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-10-12 09:58:53,2021-10-12 09:58:53,378,219,367,1676,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,578084.0,578084.0,126,https://pypi.org/project/python-dateutil,187319579,187320017,36,True,1,1552.0,34634.0,
2,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-10-21 18:05:45,2021-10-17 07:06:40,316,310,1194,752,2021-08-15 10:57:14,2.10.0,18.0,Pygments is a generic syntax highlighter written in Python.,258495.0,258495.0,654,https://pypi.org/project/Pygments,35339716,35339716,36,True,2,5654.0,,
3,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-10-21 18:03:40,2021-10-20 02:34:27,586,60,375,7621,2021-06-24 15:05:35,1.1.1,40.0,Better dates & times for Python.,22528.0,22528.0,245,https://pypi.org/project/arrow,5212787,5212787,35,True,2,1331.0,,
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-10-20 21:15:05,2021-10-16 16:44:12,939,23,533,30311,2021-10-06 13:09:30,10.12.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,7713.0,7713.0,127,https://pypi.org/project/rich,2307131,2307131,33,True,2,2350.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-10-20 21:15:05,2021-10-16 16:44:12,939,23,533,30311,2021-10-06 13:09:30,10.12.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,7713.0,7713.0,127,https://pypi.org/project/rich,2307131,2307131,33,True,1,2350.0,,
6,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-10-19 08:57:04,2021-10-07 20:44:44,300,283,373,2575,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,136319.0,136319.0,106,https://pypi.org/project/joblib,32915958,32915958,33,True,1,1383.0,,-2.0
7,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-10-09 08:17:43,2021-10-09 08:17:30,275,15,172,4377,2021-10-09 08:19:45,0.19.1,6.0,Get and set values in your .env file in local and production servers.,157666.0,157666.0,71,https://pypi.org/project/python-dotenv,12752001,12752001,32,True,1,302.0,,-2.0
8,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-10-18 03:00:43,2021-10-01 21:43:40,228,164,393,1061,2021-09-29 13:51:54,1.4.3,100.0,The new Python SDK for Sentry.io.,14918.0,14918.0,102,https://pypi.org/project/sentry-sdk,10863278,10863402,32,True,2,1301.0,4487.0,
9,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-10-18 20:13:10,2021-09-09 07:14:10,447,73,400,10038,2020-09-20 07:56:32,0.5.3,17.0,Python logging made (stupidly) simple.,11043.0,11043.0,30,https://pypi.org/project/loguru,1784450,1784450,31,True,2,562.0,,
